city,property_type,area_sqft,bedrooms,bathrooms,age_years,floor,parking,furnished,facing,road_width,location_score,nearby_schools,nearby_hospital,nearby_metro,price
Kolkata,Villa,1989,5,1,3,5,0,Unfurnished,South,35,6.2,8,1,0,25462956
Hyderabad,Commercial,1561,4,2,16,27,0,Unfurnished,West,27,6.2,8,2,1,22886350
Ahmedabad,Office,2920,4,4,8,12,3,Semi-Furnished,North-East,91,9.6,0,0,2,31115904
Chennai,Industrial,4255,5,2,29,25,3,Furnished,South-East,66,5.0,5,0,2,60566644
Kolkata,Apartment,1094,2,2,18,27,3,Furnished,West,16,7.2,6,4,2,11931291
Surat,Apartment,4812,4,3,12,7,2,Unfurnished,South-East,57,6.2,1,1,1,29372975
Bangalore,House,4198,5,3,3,14,1,Semi-Furnished,West,89,2.6,9,1,0,69893014
Kolkata,Industrial,4083,2,3,4,5,1,Unfurnished,South,69,6.3,7,1,1,37503000
Ahmedabad,Farm,2371,5,3,28,26,0,Semi-Furnished,West,42,5.9,7,0,1,14256650
Chennai,Commercial,1903,5,2,12,5,1,Semi-Furnished,South,12,5.4,5,3,1,33370513
Hyderabad,House,3649,4,3,22,3,2,Semi-Furnished,South-West,13,5.6,8,0,0,41672750
Ahmedabad,Farm,4618,2,4,15,10,1,Semi-Furnished,North,13,2.5,2,0,1,23011869
Ahmedabad,Villa,3642,4,3,21,20,2,Furnished,South-East,51,5.2,1,0,2,53406894
Bangalore,Commercial,2268,1,3,4,29,0,Semi-Furnished,North-East,18,6.5,1,3,1,50144220
Pune,Villa,2071,1,3,7,17,3,Semi-Furnished,South-West,60,5.4,5,2,0,42019979
Chennai,Industrial,1482,2,1,15,2,2,Unfurnished,South-West,26,5.4,6,4,2,19015416
Delhi,Office,2128,5,4,29,2,3,Unfurnished,West,26,1.7,5,2,0,44541166
Ahmedabad,Commercial,4251,4,4,0,29,0,Furnished,South,29,2.7,2,2,1,53957071
Pune,Farm,2542,4,2,22,11,2,Unfurnished,East,23,3.9,4,0,0,17269905
Delhi,Office,1548,2,2,27,26,2,Semi-Furnished,South-East,31,4.8,7,2,2,38981323
Chennai,Apartment,653,2,3,5,20,1,Unfurnished,South-West,61,6.3,5,0,0,8366138
Mumbai,Farm,4502,1,1,10,29,2,Furnished,West,36,8.8,1,0,2,73123597
Surat,House,3942,3,2,15,20,0,Unfurnished,North-West,52,2.4,6,4,2,32147089
Pune,Apartment,3175,2,2,4,5,3,Unfurnished,North,12,1.1,7,1,1,34214323
Jaipur,Apartment,3733,3,3,15,20,2,Furnished,North,97,5.0,3,0,1,26418339
Mumbai,House,4584,2,3,6,27,0,Furnished,East,17,4.9,0,2,2,122348499
Surat,Commercial,3679,5,2,18,5,0,Semi-Furnished,South,95,6.0,1,4,0,40221255
Bangalore,Apartment,4708,5,2,0,7,2,Unfurnished,West,98,8.5,3,2,2,64768097
Kolkata,Industrial,3281,1,4,8,14,1,Semi-Furnished,South-East,19,8.2,6,1,1,34551439
Hyderabad,Farm,665,1,1,17,17,2,Unfurnished,South,38,1.9,1,3,0,4925359
Jaipur,Office,2740,3,4,12,19,2,Unfurnished,North,49,9.4,5,1,2,24859126
Bangalore,Apartment,3548,2,2,25,28,1,Semi-Furnished,South,74,2.0,1,4,1,43124925
Chennai,Farm,3759,4,4,14,15,0,Unfurnished,North,30,6.7,6,1,2,28290977
